,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Asian Development Bank,14.58807565,121.05830089349516,Craft Coffee Revolution,14.585859354879148,121.05921187958307,Coffee Shop
1,Asian Development Bank,14.58807565,121.05830089349516,The Nostalgia Dining Lounge,14.587518631581055,121.05975296674438,Restaurant
2,Asian Development Bank,14.58807565,121.05830089349516,Gino's Brick Oven Pizza,14.58579090507705,121.05964042481264,Pizza Place
3,Asian Development Bank,14.58807565,121.05830089349516,The Café Mediterranean,14.5859672,121.0571223,Mediterranean Restaurant
4,Asian Development Bank,14.58807565,121.05830089349516,Wildflour Café + Bakery,14.585866,121.059573,Café
5,Asian Development Bank,14.58807565,121.05830089349516,Beauty Bar,14.585758950859834,121.05981533953323,Cosmetics Shop
6,Asian Development Bank,14.58807565,121.05830089349516,Polecats Manila,14.586638687528573,121.06106336389428,Gym / Fitness Center
7,Asian Development Bank,14.58807565,121.05830089349516,yoga+,14.585828608504134,121.05908447900183,Yoga Studio
8,Asian Development Bank,14.58807565,121.05830089349516,Kuya J Restaurant,14.586211898109973,121.05663597989941,Filipino Restaurant
9,Asian Development Bank,14.58807565,121.05830089349516,Toby's Estate Coffee Roasters,14.587986434292338,121.0610604338515,Coffee Shop
10,Asian Development Bank,14.58807565,121.05830089349516,House of Wagyu,14.585830967593598,121.05908945721029,Australian Restaurant
11,Asian Development Bank,14.58807565,121.05830089349516,Jamba Juice,14.58574530516653,121.05668642108967,Juice Bar
12,Asian Development Bank,14.58807565,121.05830089349516,Madeca,14.585796572961408,121.05924848321209,Mexican Restaurant
13,Asian Development Bank,14.58807565,121.05830089349516,Shi Lin 士林,14.585749059375273,121.0596986160003,Chinese Restaurant
14,Asian Development Bank,14.58807565,121.05830089349516,Buffalo's Wings N' Things,14.585710363356844,121.05686053397164,Wings Joint
15,Asian Development Bank,14.58807565,121.05830089349516,Mann Hann,14.586167401221234,121.05672673554757,Chinese Restaurant
16,Asian Development Bank,14.58807565,121.05830089349516,BreadTalk,14.58569336687384,121.05680022550631,Bakery
17,Asian Development Bank,14.58807565,121.05830089349516,Yabu,14.58444462220295,121.05735198498923,Japanese Restaurant
18,Asian Development Bank,14.58807565,121.05830089349516,OptionsStudio Podium,14.585837742332382,121.05908037996684,Yoga Studio
19,Asian Development Bank,14.58807565,121.05830089349516,SkinStation,14.585948439850238,121.0567937810768,Health & Beauty Service
20,Asian Development Bank,14.58807565,121.05830089349516,Herbajuice,14.585960863370655,121.05728695495513,Juice Bar
21,Asian Development Bank,14.58807565,121.05830089349516,Starbucks Reserve,14.584424378151061,121.05897480627462,Coffee Shop
22,Asian Development Bank,14.58807565,121.05830089349516,Razon's of Guagua,14.585617260533281,121.05681654024418,Filipino Restaurant
23,Asian Development Bank,14.58807565,121.05830089349516,Lopez Memorial Museum,14.586484848383316,121.06144634657305,Art Museum
24,Asian Development Bank,14.58807565,121.05830089349516,Sambo Kojin,14.58446190839214,121.05733160881086,Buffet
25,Asian Development Bank,14.58807565,121.05830089349516,Felipe & Sons Barberdashery,14.5851499,121.0600371,Salon / Barbershop
26,Asian Development Bank,14.58807565,121.05830089349516,Tenya,14.585203403461012,121.05676778057583,Japanese Restaurant
27,Asian Development Bank,14.58807565,121.05830089349516,Nail Spa Lounge,14.584455860948186,121.05727939744517,Spa
28,Asian Development Bank,14.58807565,121.05830089349516,Joy-Nostalg Hotel and Suites,14.587505308508781,121.06010782624026,Hotel
29,Asian Development Bank,14.58807565,121.05830089349516,The Podium,14.585363339431813,121.0593188911058,Shopping Mall
30,Asian Development Bank,14.58807565,121.05830089349516,NIU by Vikings,14.585406214650574,121.05936810011035,Buffet
31,Asian Development Bank,14.58807565,121.05830089349516,Red Mango,14.585690562256572,121.05674572873203,Frozen Yogurt Shop
32,Asian Development Bank,14.58807565,121.05830089349516,Forever 21,14.585135913594051,121.05680277869915,Clothing Store
33,Asian Development Bank,14.58807565,121.05830089349516,Café 1771,14.58493974151109,121.06001563460593,Café
34,Asian Development Bank,14.58807565,121.05830089349516,Monster Radio RX 93.1,14.587054475419404,121.0625023721524,Radio Station
35,Asian Development Bank,14.58807565,121.05830089349516,Topshop,14.591294200968393,121.05952754211424,Women's Store
36,Asian Development Bank,14.58807565,121.05830089349516,Nonna's,14.591460763651984,121.05999582612283,Italian Restaurant
37,Asian Development Bank,14.58807565,121.05830089349516,Sbarro,14.584837215934716,121.0564705416861,Pizza Place
38,Asian Development Bank,14.58807565,121.05830089349516,Gringo Chicken • Ribs • Friends,14.5844581915304,121.0573636017381,Latin American Restaurant
39,Asian Development Bank,14.58807565,121.05830089349516,Seven Corners,14.590495,121.060947,Buffet
40,Asian Development Bank,14.58807565,121.05830089349516,S&R New York Style Pizza,14.59144299594646,121.05943521455154,Pizza Place
41,Asian Development Bank,14.58807565,121.05830089349516,Yoga Plus,14.58644610406091,121.06128761692408,Yoga Studio
42,Asian Development Bank,14.58807565,121.05830089349516,Mesa Filipino Moderne,14.584467039379826,121.05741935145927,Filipino Restaurant
43,Asian Development Bank,14.58807565,121.05830089349516,Auntie Anne's,14.591051423801327,121.05988044832304,Bakery
44,Asian Development Bank,14.58807565,121.05830089349516,Krispy Kreme,14.584194706523508,121.05663884777387,Donut Shop
