,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Type
0,Asian Development Bank,14.58807565,121.05830089349516,Craft Coffee Revolution,14.585859354879148,121.05921187958307,Coffee Shop,Cafe/Tea/Dessert
1,Asian Development Bank,14.58807565,121.05830089349516,The Nostalgia Dining Lounge,14.587518631581053,121.05975296674437,Restaurant,Restaurant
2,Asian Development Bank,14.58807565,121.05830089349516,Gino's Brick Oven Pizza,14.58579090507705,121.05964042481264,Pizza Place,Fast Food
3,Asian Development Bank,14.58807565,121.05830089349516,The Café Mediterranean,14.585967199999999,121.0571223,Mediterranean Restaurant,Restaurant
4,Asian Development Bank,14.58807565,121.05830089349516,Wildflour Café + Bakery,14.585866000000001,121.059573,Café,Cafe/Tea/Dessert
5,Asian Development Bank,14.58807565,121.05830089349516,Beauty Bar,14.585758950859836,121.05981533953323,Cosmetics Shop,"Cosmetics, Clothes, Beauty and Health Services"
6,Asian Development Bank,14.58807565,121.05830089349516,Polecats Manila,14.586638687528572,121.06106336389428,Gym / Fitness Center,Sports & Fitness
7,Asian Development Bank,14.58807565,121.05830089349516,yoga+,14.585828608504135,121.05908447900184,Yoga Studio,Sports & Fitness
8,Asian Development Bank,14.58807565,121.05830089349516,Kuya J Restaurant,14.586211898109973,121.05663597989941,Filipino Restaurant,Restaurant
9,Asian Development Bank,14.58807565,121.05830089349516,Toby's Estate Coffee Roasters,14.587986434292338,121.06106043385151,Coffee Shop,Cafe/Tea/Dessert
10,Asian Development Bank,14.58807565,121.05830089349516,House of Wagyu,14.585830967593598,121.05908945721028,Australian Restaurant,Restaurant
11,Asian Development Bank,14.58807565,121.05830089349516,Jamba Juice,14.585745305166528,121.0566864210897,Juice Bar,Cafe/Tea/Dessert
12,Asian Development Bank,14.58807565,121.05830089349516,Madeca,14.585796572961408,121.05924848321207,Mexican Restaurant,Restaurant
13,Asian Development Bank,14.58807565,121.05830089349516,Shi Lin 士林,14.585749059375274,121.05969861600029,Chinese Restaurant,Restaurant
14,Asian Development Bank,14.58807565,121.05830089349516,Buffalo's Wings N' Things,14.585710363356846,121.05686053397163,Wings Joint,Fast Food
15,Asian Development Bank,14.58807565,121.05830089349516,Mann Hann,14.586167401221235,121.05672673554756,Chinese Restaurant,Restaurant
16,Asian Development Bank,14.58807565,121.05830089349516,BreadTalk,14.585693366873839,121.05680022550631,Bakery,Convenience Stores and Food Essentials
17,Asian Development Bank,14.58807565,121.05830089349516,Yabu,14.58444462220295,121.05735198498924,Japanese Restaurant,Restaurant
18,Asian Development Bank,14.58807565,121.05830089349516,OptionsStudio Podium,14.585837742332382,121.05908037996684,Yoga Studio,Sports & Fitness
19,Asian Development Bank,14.58807565,121.05830089349516,SkinStation,14.585948439850238,121.05679378107679,Health & Beauty Service,"Cosmetics, Clothes, Beauty and Health Services"
20,Asian Development Bank,14.58807565,121.05830089349516,Herbajuice,14.585960863370655,121.05728695495512,Juice Bar,Cafe/Tea/Dessert
21,Asian Development Bank,14.58807565,121.05830089349516,Starbucks Reserve,14.584424378151061,121.05897480627462,Coffee Shop,Cafe/Tea/Dessert
22,Asian Development Bank,14.58807565,121.05830089349516,Razon's of Guagua,14.585617260533281,121.05681654024418,Filipino Restaurant,Restaurant
23,Asian Development Bank,14.58807565,121.05830089349516,Lopez Memorial Museum,14.586484848383314,121.06144634657305,Art Museum,Art/Culture/Museum
24,Asian Development Bank,14.58807565,121.05830089349516,Sambo Kojin,14.584461908392141,121.05733160881087,Buffet,Restaurant
25,Asian Development Bank,14.58807565,121.05830089349516,Felipe & Sons Barberdashery,14.585149900000001,121.0600371,Salon / Barbershop,"Cosmetics, Clothes, Beauty and Health Services"
26,Asian Development Bank,14.58807565,121.05830089349516,Tenya,14.585203403461012,121.05676778057585,Japanese Restaurant,Restaurant
27,Asian Development Bank,14.58807565,121.05830089349516,Nail Spa Lounge,14.584455860948186,121.05727939744516,Spa,"Cosmetics, Clothes, Beauty and Health Services"
28,Asian Development Bank,14.58807565,121.05830089349516,Joy-Nostalg Hotel and Suites,14.58750530850878,121.06010782624027,Hotel,Accomodation
29,Asian Development Bank,14.58807565,121.05830089349516,The Podium,14.585363339431813,121.0593188911058,Shopping Mall,"Gadgets, Hardware, Toys, etc."
30,Asian Development Bank,14.58807565,121.05830089349516,NIU by Vikings,14.585406214650574,121.05936810011036,Buffet,Restaurant
